Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Comments,Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle
219,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130105,LIMURU,01/14/2011 08:00:00 AM +0000,,Error,lorry lost control and hit other vehicles on the way,KPR,,,Motor vehicles were damaged.,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
220,TRAFFIC ACCIDENT,29,MURANGA,2903,MARAGUA,290303,MAKUYU,02/04/2011 08:00:00 AM +0000,,Error,Pedestrian walking along the road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,290402,KAHURO,01/14/2011 08:00:00 AM +0000,,Error,Motor vehicle collided with a lorry,KPR,,,Motor vehicles were damaged.,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,03/01/2011 08:00:00 AM +0000,,Negligence,Pedal cyclist knocked down,KPR,,,Nissan Bus damaged and bicycle dstroyed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,02/05/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,TRAFFIC ACCIDENT,12,KERICHO,1206,KERICHO,,,02/04/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311016,RONGAI,02/05/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,TRAFFIC ACCIDENT,33,NAROK,3312,NAROK,331204,MAU,02/05/2011 08:00:00 AM +0000,,Error,motor cycle,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,01/14/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,02/05/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,290403,KANGEMA,02/06/2011 08:00:00 AM +0000,,Negligence,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,290403,KANGEMA,02/06/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311012,NAIVASHA,01/14/2011 08:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,02/05/2011 08:00:00 AM +0000,,Error,Pedestrian walking along the road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,TRAFFIC ACCIDENT,11,KEIYO-MARAKWET,1109,MARAKWET,110905,TIRAP,02/06/2011 08:00:00 AM +0000,,Error,Pedestrian walking along the road,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,TRAFFIC ACCIDENT,10,KAKAMEGA,1004,KAKAMEGA,100402,ILEHO,01/14/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a van.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,290402,KAHURO,01/15/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down.,KPR,,,Motor vehicle was damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,02/07/2011 08:00:00 AM +0000,,Fault,technical problem - brake failure,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,TRAFFIC ACCIDENT,16,KISII,1603,GUCHA,,,02/07/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,TRAFFIC ACCIDENT,20,LAIKIPIA,2008,LAIKIPIA WEST,200805,NYAHURURU,01/15/2011 08:00:00 AM +0000,,Error,Pedal cyclist knocked down a pedestrian.,KPR,,,Bicycle was damaged.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
253,TRAFFIC ACCIDENT,36,NYERI,3606,NYERI,360604,MATHIRA,01/14/2011 08:00:00 AM +0000,,Hit and Run,Pedestrian was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,03/02/2011 08:00:00 AM +0000,,Negligence,Motor cyclist hit a car from the back,,,,Damaged Motorcycle and motor vehicle,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,TRAFFIC ACCIDENT,18,KITUI,1803,KITUI,180306,MUTOMO,01/15/2011 08:00:00 AM +0000,,Error,Pedestrian who was hanging on ladder fell and died,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,01/15/2011 08:00:00 AM +0000,,Hit and Run,Truck hit motor cyclist.,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,TRAFFIC ACCIDENT,16,KISII,1602,CENTRAL KISII,,,01/15/2011 08:00:00 AM +0000,,Error,Juvenile pedestrian was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,,,03/02/2011 08:00:00 AM +0000,,Negligence,Toyota Matatu hit a pedestrian,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311012,NAIVASHA,11/14/2011 08:00:00 AM +0000,,,,,,,Damage to Toyota Matatu,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
261,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311014,NJORO,01/15/2011 08:00:00 AM +0000,,Error,Pedal cyclist knocked down by matatu.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,TRAFFIC ACCIDENT,47,WEST POKOT,4718,WEST POKOT,471805,KAPENGURIA,01/14/2011 08:00:00 AM +0000,,Error,Motor vehicles lost control and overturned.,KPR,,,Motor vehicles were damaged.,1,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0
264,TRAFFIC ACCIDENT,3,BUNGOMA,301,BUNGOMA EAST,30110,WEBUYE,01/15/2011 08:00:00 AM +0000,,Error,Motor vehicle collided head on with a motor cycle.,KPR,,,Motor vehicle and motor cycle were damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,,,01/16/2011 08:00:00 AM +0000,,Error,Pedestrian fell and was overrun by tyres while stealing ride,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,TRAFFIC ACCIDENT,14,KILIFI,1404,MALINDI,140402,MALINDI,01/16/2011 08:00:00 AM +0000,,Error,Pedal cyclist was knocked down by a lorry.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,TRAFFIC ACCIDENT,15,KIRINYAGA,1502,KIRINYAGA,150201,CENTRAL KIRINYAGA,02/08/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,TRAFFIC ACCIDENT,26,MERU,2608,MERU CENTRAL,260801,ABOGETA,01/15/2011 08:00:00 AM +0000,,Error,"Motor cyclist lost control, hit rail road guards ",KPR,,,Motor cycle was damaged.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,TRAFFIC ACCIDENT,14,KILIFI,1404,MALINDI,140402,MALINDI,02/08/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300108,WESTLANDS,03/03/2011 08:00:00 AM +0000,Da,Negligence,Failure to follow traffic officer direction,KPR,,,Slight damage to 2 vehicles,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
274,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,01/16/2011 08:00:00 AM +0000,,Error,Motor vehicle hit a matatu,KPR,,,Motor vehicles were damaged.,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
273,TRAFFIC ACCIDENT,38,SIAYA,3801,BONDO,380101,BONDO,02/08/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,TRAFFIC ACCIDENT,38,SIAYA,3811,SIAYA,,,02/08/2011 08:00:00 AM +0000,,Error,Pedestrian crossing road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,TRAFFIC ACCIDENT,17,KISUMU,1705,KISUMU,170504,WINAM,01/17/2011 08:00:00 AM +0000,,Error,Motor cyclist lost control and rolled.,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279,TRAFFIC ACCIDENT,9,KAJIADO,904,KAJIADO,,,02/09/2011 08:00:00 AM +0000,,Error,motor cycle,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,TRAFFIC ACCIDENT,10,KAKAMEGA,1004,KAKAMEGA,100405,LURAMBI,01/15/2011 08:00:00 AM +0000,,Hit and Run,Pedestrian was knocked down.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
